Final Results Comparison,,,,,,,,,
Metric,OG_PerunaBot,PerunaBot_0,PerunaBot_1,PerunaBot_2,,,,,
faithfulness,0.8325892857142857,0.7730873599439776,0.7267723595848596,0.8323390151515151,,,,,
answer_relevancy,0.9246855551875921,0.842952533121034,0.8398933360793133,0.8490836177605212,,,,,
answer_correctness,0.5257155638415147,0.6438338895946518,0.637231613596142,0.6133852944348558,,,,,
context_recall,0.7541666666666667,0.8154761904761905,0.7425595238095237,0.6770833333333333,,,,,
context_precision,0.8350694444197337,0.7976714852475988,0.8038123582616478,0.8044494047441175,,,,,
,,,,,,,,,
,,,,,,,,,
OG PerunaBot Evaluation Results,,,,,,,,,
question_type,question,ground_truth,answer,contexts,faithfulness,answer_relevancy,answer_correctness,context_recall,context_precision
simple,What are the primary considerations for merit scholarships and need-based financial aid for National Merit finalists at SMU?,"High academic accomplishments or achievement in the arts, National Merit finalists, International Baccalaureate Diploma recipients, dependent children and spouses of ordained United Methodist ministers engaged in full-time, church-related vocations, and Texas residents are the primary considerations for merit scholarships and need-based financial aid for National Merit finalists at SMU.","The primary considerations for merit scholarships and need-based financial aid for National Merit finalists at SMU include completing the SMU Application for Admission by January 15, submitting the Free Application for Federal Student Aid (FAFSA) at www.fafsa.ed.gov, and the CSS/Financial Aid Profile at www.collegeboard.org. SMU also offers merit-based scholarships and grant programs to students who meet specific criteria, in addition to federal and state aid programs. The SMU Opportunity Award is a need-based grant awarded based on demonstrated need not met by other scholarships or grants.","['For information regarding artistic scholarships, please visit our website: smu.edu/affordmeadows.  \nTo receive primary consideration for all SMU merit scholarships and other aid, students should comply with the \nfollowing schedule:  \nBy January 15  \n• Complete the SMU Application for Admission.  \n• Submit the Free Application for Federal Student Aid at www.fafsa.ed.gov and the CSS/Financial Aid \nProfile at www.collegeboard.org.'
 'Student Aid at www.studenta id.gov. Texas residents who do not qualify to file the FAFSA may qualify for \nassistance through the State of Texas  by filing the Texas Application for State Financial Aid (TASFA).  All students \nare considered for SMU merit -based scholarships at the time of admission.   \nIn addition to available federal and state aid programs, SMU offers several merit scholarships and grant programs to students who meet the following specific criteria:'
 'question: What is the SMU Opportunity Award?\nanswer: This is an SMU need-based grant that is awarded after all scholarships, federal and state grants have been added to your financial aid package and is based on your demonstrated need that is not met by any and all other scholarships or grants.'
 'Scholarships, Grants and Other Aid  \nSMU strives to provide financial assistance to any admitted student who demonstrates financial need as determined by the Free Application for Federal Student Aid (FAFSA, fafsa.gov) and CSSProfile (cssprofile.collegeboard.org).  \nApproximately three out of every four students receive aid from one or more federal, state or institutionally based assistance programs. Students seeking federal and state financial aid must file the Free Application for Federal']",0.5714285714285714,0.8630117914308048,0.22707685753796258,1,0.6388888888675925
