question,answer
What are the degree requirements for a BA in Anthropology at SMU?,"The BA in Anthropology requires completion of introductory courses in cultural and biological anthropology, archaeological methods, and electives in upper-level anthropology courses."
How many credit hours are required for the BA in Anthropology major at SMU?,The BA in Anthropology requires a total of 36 credit hours in anthropology courses.
What are the degree requirements for a BS in Anthropology at SMU?,"The BS in Anthropology requires foundational courses in cultural and biological anthropology, archaeological methods, and additional courses in statistics and natural sciences."
How many credit hours are required for the BS in Anthropology major at SMU?,The BS in Anthropology requires a total of 48 credit hours in anthropology and related courses.
What are the degree requirements for a BS in Biochemistry at SMU?,"The BS in Biochemistry requires foundational courses in chemistry, biology, and biochemistry, including laboratory courses and advanced electives in biochemistry."
How many credit hours are required for the BS in Biochemistry major at SMU?,"The BS in Biochemistry requires a total of 76 credit hours in chemistry, biology, and related courses."
What are the degree requirements for a BA in Biological Sciences at SMU?,"The BA in Biological Sciences requires foundational courses in biology, chemistry, and physics, along with electives in advanced biological sciences courses."
How many credit hours are required for the BA in Biological Sciences major at SMU?,The BA in Biological Sciences requires a total of 37 credit hours in biological sciences courses.
What are the degree requirements for a BS in Biological Sciences at SMU?,"The BS in Biological Sciences requires foundational courses in biology, chemistry, and physics, along with advanced electives in biological sciences and laboratory courses."
How many credit hours are required for the BS in Biological Sciences major at SMU?,The BS in Biological Sciences requires a total of 60 credit hours in biological sciences courses.
What are the degree requirements for a BS in Biophysical Sciences at SMU?,"The BS in Biophysical Sciences requires courses in biology, chemistry, physics, and mathematics, focusing on the interdisciplinary study of biological and physical sciences."
How many credit hours are required for the BS in Biophysical Sciences major at SMU?,The BS in Biophysical Sciences requires a total of 76 credit hours in interdisciplinary courses.
What are the degree requirements for a BA in Chemistry at SMU?,"The BA in Chemistry requires foundational courses in general, organic, and physical chemistry, along with electives in advanced chemistry courses."
How many credit hours are required for the BA in Chemistry major at SMU?,The BA in Chemistry requires a total of 44 credit hours in chemistry courses.
What are the degree requirements for a BS in Chemistry at SMU?,"The BS in Chemistry requires comprehensive courses in general, organic, physical, and analytical chemistry, including laboratory courses and advanced electives in chemistry."
How many credit hours are required for the BS in Chemistry major at SMU?,The BS in Chemistry requires a total of 52 credit hours in chemistry courses.
What are the degree requirements for a BA in Data Science at SMU?,"The BA in Data Science requires courses in mathematics, statistics, computer science, and domain-specific data science applications, along with electives."
How many credit hours are required for the BA in Data Science major at SMU?,The BA in Data Science requires a total of 42 credit hours in data science-related courses.
What are the degree requirements for a BS in Data Science at SMU?,"The BS in Data Science requires foundational courses in mathematics, statistics, and computer science, along with domain-specific data science applications and advanced electives."
How many credit hours are required for the BS in Data Science major at SMU?,The BS in Data Science requires a total of 48 credit hours in data science-related courses.
What are the degree requirements for a BA in Earth Sciences at SMU?,"The BA in Earth Sciences requires introductory courses in geology, environmental science, and upper-level electives in earth sciences."
How many credit hours are required for the BA in Earth Sciences major at SMU?,The BA in Earth Sciences requires a total of 37 credit hours in earth sciences courses.
What are the degree requirements for a BS in Earth Sciences at SMU?,"The BS in Earth Sciences requires comprehensive courses in geology, environmental science, and related fields, including laboratory and field courses."
How many credit hours are required for the BS in Earth Sciences major at SMU?,The BS in Earth Sciences requires a total of 48 credit hours in earth sciences courses.
What are the degree requirements for a BA in Economics at SMU?,"The BA in Economics requires foundational courses in microeconomics, macroeconomics, and econometrics, along with upper-level economics electives."
How many credit hours are required for the BA in Economics major at SMU?,The BA in Economics requires a total of 33 credit hours in economics courses.
What are the degree requirements for a BS in Economics at SMU?,"The BS in Economics requires comprehensive courses in microeconomics, macroeconomics, econometrics, and advanced quantitative methods."
How many credit hours are required for the BS in Economics major at SMU?,The BS in Economics requires a total of 42 credit hours in economics and related courses.
What are the degree requirements for a BS in Economics with Finance Applications at SMU?,"The BS in Economics with Finance Applications requires courses in economics, finance, and quantitative methods, focusing on financial markets and institutions."
How many credit hours are required for the BS in Economics with Finance Applications major at SMU?,The BS in Economics with Finance Applications requires a total of 42 credit hours in economics and finance courses.
What are the degree requirements for a BS in Economics with Management Information Applications at SMU?,"The BS in Economics with Management Information Applications requires courses in economics, information systems, and quantitative methods, focusing on management information systems."
How many credit hours are required for the BS in Economics with Management Information Applications major at SMU?,The BS in Economics with Management Information Applications requires a total of 42 credit hours in economics and information systems courses.
What are the degree requirements for a BA in English at SMU?,"The BA in English requires courses in literary analysis, historical literature surveys, and advanced electives in various literary genres and periods."
How many credit hours are required for the BA in English major at SMU?,The BA in English requires a total of 33 credit hours in English courses.
What are the degree requirements for a BA in History at SMU?,"The BA in History requires foundational courses in world and American history, historical research methods, and advanced electives in various historical periods and regions."
How many credit hours are required for the BA in History major at SMU?,The BA in History requires a total of 33 credit hours in history courses.
What are the degree requirements for a BA in International Studies at SMU?,"The BA in International Studies requires courses in international relations, global history, cultural studies, and regional focus areas."
How many credit hours are required for the BA in International Studies major at SMU?,The BA in International Studies requires a total of 36 credit hours in international studies courses.
What are the degree requirements for a BA in Mathematics at SMU?,"The BA in Mathematics requires courses in calculus, linear algebra, differential equations, and electives in advanced mathematics topics."
How many credit hours are required for the BA in Mathematics major at SMU?,The BA in Mathematics requires a total of 33 credit hours in mathematics courses.
What are the degree requirements for a BS in Mathematics at SMU?,"The BS in Mathematics requires comprehensive courses in calculus, linear algebra, differential equations, real analysis, and advanced mathematics electives."
How many credit hours are required for the BS in Mathematics major at SMU?,The BS in Mathematics requires a total of 39 credit hours in mathematics courses.
What are the degree requirements for a BA in Philosophy at SMU?,"The BA in Philosophy requires courses in logic, ethics, metaphysics, and electives in various philosophical topics and historical periods."
How many credit hours are required for the BA in Philosophy major at SMU?,The BA in Philosophy requires a total of 30 credit hours in philosophy courses.
What are the degree requirements for a BA in Physics at SMU?,"The BA in Physics requires foundational courses in general physics, modern physics, and electives in advanced physics topics."
How many credit hours are required for the BA in Physics major at SMU?,The BA in Physics requires a total of 37 credit hours in physics courses.
What are the degree requirements for a BS in Physics at SMU?,"The BS in Physics requires comprehensive courses in general physics, modern physics, quantum mechanics, and advanced laboratory courses."
How many credit hours are required for the BS in Physics major at SMU?,The BS in Physics requires a total of 50 credit hours in physics courses.
What are the degree requirements for a BA in Political Science at SMU?,"The BA in Political Science requires courses in American government, comparative politics, international relations, and electives in various political science topics."
How many credit hours are required for the BA in Political Science major at SMU?,The BA in Political Science requires a total of 33 credit hours in political science courses.
What are the degree requirements for a BA in Psychology at SMU?,"The BA in Psychology requires foundational courses in general psychology, research methods, and electives in various psychology topics."
How many credit hours are required for the BA in Psychology major at SMU?,The BA in Psychology requires a total of 36 credit hours in psychology courses.
What are the degree requirements for a BS in Psychology at SMU?,"The BS in Psychology requires comprehensive courses in general psychology, research methods, statistics, and advanced electives in various psychology topics."
How many credit hours are required for the BS in Psychology major at SMU?,The BS in Psychology requires a total of 41 credit hours in psychology courses.
What are the degree requirements for a BA in Religious Studies at SMU?,"The BA in Religious Studies requires courses in religious texts, history of religions, and electives in various religious studies topics."
How many credit hours are required for the BA in Religious Studies major at SMU?,The BA in Religious Studies requires a total of 30 credit hours in religious studies courses.
What are the degree requirements for a BA in Sociology at SMU?,"The BA in Sociology requires foundational courses in sociological theory, research methods, and electives in various sociology topics."
How many credit hours are required for the BA in Sociology major at SMU?,The BA in Sociology requires a total of 33 credit hours in sociology courses.
What are the degree requirements for a BA in Statistical Science at SMU?,"The BA in Statistical Science requires courses in probability, statistical methods, and electives in advanced statistical science topics."
How many credit hours are required for the BA in Statistical Science major at SMU?,The BA in Statistical Science requires a total of 36 credit hours in statistical science courses.
What are the degree requirements for a BS in Statistical Science at SMU?,"The BS in Statistical Science requires comprehensive courses in probability, statistical methods, mathematical statistics, and advanced electives in statistical science."
How many credit hours are required for the BS in Statistical Science major at SMU?,The BS in Statistical Science requires a total of 42 credit hours in statistical science courses.
What are the degree requirements for a BA in World Languages at SMU?,"The BA in World Languages requires courses in language proficiency, literature, culture, and electives in advanced language studies."
How many credit hours are required for the BA in World Languages major at SMU?,The BA in World Languages requires a total of 33 credit hours in language courses.
What are the degree requirements for a BA in World Languages with a primary focus on Chinese at SMU?,"The BA in World Languages with a primary focus on Chinese requires 23 credit hours beyond the first-year sequence in Chinese. Core courses include Intermediate Chinese (CHIN 2401 and CHIN 2402), two advanced Chinese courses (such as CHIN 3311 and CHIN 3312), and electives like CHIN 4381 and CHIN 4382."
How many total credit hours are required for the BA in World Languages with a primary focus on Chinese major at SMU?,"The BA in World Languages with a primary focus on Chinese requires 23 credit hours for the major plus additional hours for a secondary language specialization, which can vary depending on the secondary language chosen."
What are the degree requirements for a BA in World Languages with a primary focus on French at SMU?,"The BA in World Languages with a primary focus on French requires 26 credit hours beyond the first-year sequence in French. Core courses include Intermediate French II (FREN 2302), French Phonics (FREN 3101), Advanced French II (FREN 3356), and Introduction to French History and Culture (FREN 4375)."
How many total credit hours are required for the BA in World Languages with a primary focus on French major at SMU?,"The BA in World Languages with a primary focus on French requires 26 credit hours for the major plus additional hours for a secondary language specialization, which can vary depending on the secondary language chosen."
What are the degree requirements for a BA in World Languages with a primary focus on German at SMU?,"The BA in World Languages with a primary focus on German requires 24 credit hours beyond the first-year sequence in German. Core courses include Intermediate German (GERM 2401 and GERM 2302), and advanced German courses such as Talking and Writing About Modern Germany (GERM 3311)."
How many total credit hours are required for the BA in World Languages with a primary focus on German major at SMU?,"The BA in World Languages with a primary focus on German requires 24 credit hours for the major plus additional hours for a secondary language specialization, which can vary depending on the secondary language chosen."
What are the degree requirements for a BA in World Languages with a primary focus on Italian at SMU?,"The BA in World Languages with a primary focus on Italian requires 22 credit hours beyond the first-year sequence in Italian. Core courses include Intermediate Italian I (ITAL 2401), Intermediate Italian II (ITAL 2302), and Advanced Italian Conversation (ITAL 3355)."
How many total credit hours are required for the BA in World Languages with a primary focus on Italian major at SMU?,"The BA in World Languages with a primary focus on Italian requires 22 credit hours for the major plus additional hours for a secondary language specialization, which can vary depending on the secondary language chosen."
What are the degree requirements for a BA in World Languages with a primary focus on Spanish at SMU?,"The BA in World Languages with a primary focus on Spanish requires 28 credit hours beyond the first-year sequence in Spanish. Core courses include Intermediate Spanish I (SPAN 2401), Intermediate Spanish II (SPAN 2302 or SPAN 2323 for heritage speakers), and Advanced Spanish (SPAN 3358 or SPAN 3359 for heritage speakers)."
How many total credit hours are required for the BA in World Languages with a primary focus on Spanish major at SMU?,"The BA in World Languages with a primary focus on Spanish requires 28 credit hours for the major plus additional hours for a secondary language specialization, which can vary depending on the secondary language chosen."
