question,answer
What is the purpose of the Peruna Passport?,"The Peruna Passport is SMU’s academic resource guide for incoming students. It provides important information regarding the University Advising Center, first-year course requirements, the Common Curriculum, academic policies and procedures, and campus resources."
"What should new Mustangs submit to gain access to the Pre-Advising Canvas Course, meet with an advisor, and enroll in classes?","New Mustangs must submit proof of the Meningitis vaccine and the Health History Form to gain access to the Pre-Advising Canvas Course, meet with an advisor, and enroll in classes. These forms should be submitted at smu.edu/HealthForms/Incoming-Students."
What is the Pre-Advising Canvas Course (PACC) and what does it cover?,"The Pre-Advising Canvas Course (PACC) educates new students on the structure and requirements of their degree and prepares them for their advising appointment. It covers topics such as the SMU Degree, the Common Curriculum, important policies and procedures, and building a schedule."
What is the role of the University Advising Center (UAC) for pre-major students?,"The University Advising Center (UAC) guides pre-major students as they navigate the undergraduate curriculum and maximize their academic experience at SMU. UAC advisors help students recognize and pursue their passions, set realistic goals, and empower them to think and act independently."
What are some reasons students should see their academic advisor after Mustang StartUp?,"Students should see their academic advisor for questions or concerns regarding their classes, AP, IB, dual enrollment or other transfer credit, academic policies and procedures, narrowing options for majors and/or minors, degree planning, and referrals to other campus resources."
What are the expectations of an advisor at SMU?,"Advisors at SMU are expected to advise students on course selection and developing an academic plan, help explore majors and minors, clarify academic policies, be available for meetings, listen to concerns and refer to support services, assist in making intentional academic decisions, guide exploration of interests, and introduce academic planning resources."
What are the expectations of students regarding their academic advising at SMU?,"Students are expected to familiarize themselves with university policies, regulations, and procedures, consult relevant resources, contact advisors in a timely manner, prepare for meetings, draft tentative schedules, observe academic deadlines, inform advisors about academic progress and goals, understand scholarship requirements, and plan ahead."
What are the components of the SMU Common Curriculum?,"The SMU Common Curriculum consists of Foundation requirements and Breadth requirements. Foundation requirements ensure students have essential skills in writing, reasoning, and quantitative analysis, while Breadth requirements expose students to diverse intellectual frameworks and disciplines."
What courses fall under the Foundation requirements in the SMU Common Curriculum?,"The Foundation requirements in the SMU Common Curriculum include Academic Writing (AW) and Critical Reasoning (CR), Quantitative Reasoning (QR), and Second Language (SLR)."
What are some key steps new students should take before attending Mustang StartUp?,"New students should submit required health forms, complete the Campus Life Modules, finish the Pre-Advising Canvas Course (PACC), review the Peruna Passport, submit records of AP/IB and dual enrollment, consider academic areas of interest, take placement exams, identify possible first-term courses, and meet with their advisor for class enrollment."
"What should students do if they have AP, IB, or dual enrollment credits?","Students should confirm that a record of all dual enrollment and AP/IB work is sent to the SMU Registrar’s Office. If official documentation is not received by SMU, they will not receive credit."
What are the first steps of Mustang StartUp?,"The first steps of Mustang StartUp include submitting required health forms, starting the Campus Life Modules, completing the Pre-Advising Canvas Course (PACC), reviewing the Peruna Passport, submitting records of AP/IB and dual enrollment, considering academic areas of interest, taking placement exams, identifying possible first-term courses, and meeting with an advisor."
