question,contexts,ground_truth,evolution_type,metadata,episode_done
What are the primary considerations for merit scholarships and need-based financial aid for National Merit finalists at SMU?,"['• High academic accomplishments or achievement in the arts.  \n• National Merit finalists and International Baccalaureate Diploma recipients.  \n• Dependent children and spouses of ordained United Methodist ministers engaged in full -time, church -\nrelated vocations. (Additional application required.)  \n• Texas residents.  \nPrimary consideration for merit scholarships and need- based financial aid will be given to the following:  \n1. Entering first -year students who \na. Complete the SMU admission application, with all supporting materials, by January 15.  \nb. File the FAFSA  (www.studentaid.gov) and the CSSProfile by November 1 for Early Decision/Early \nAction, or by February 15 for Regular Admission. (The FAFSA is required for federal and state \nneed -based aid consideration; the FAFSA and CSSProfile  are both required for consideration for \nInstitutional need -based aid.)  \nc. Complete the online SMU Application for Scholarships. Instructions to complete the online']","High academic accomplishments or achievement in the arts, National Merit finalists, International Baccalaureate Diploma recipients, dependent children and spouses of ordained United Methodist ministers engaged in full-time, church-related vocations, and Texas residents are the primary considerations for merit scholarships and need-based financial aid for National Merit finalists at SMU.",simple,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 20, 'start_index': 1913}]",True
Why is it important for students to obtain pre-approval for transfer work at SMU?,"[""may change the designation of the courses. Students should make these transfer -credit designations in consultation \nwith their records offices.  \nNote:  The policies of all SMU's undergraduate schools require that post -matriculation transfer work must be \ncompleted at accredited, four -year institutions. Post- matriculation work at institutions that award principally \nAssociates and Bachelor of Applied Science degrees will not be considered for credit by the undergraduate schools.  \nCourses taken at another U.S. institution where the instruction is in the U.S.: To ensure in advance that a course \ntaken at another accredited college or university will transfer and that proper credit will be awarded, the student \ntaking the course should obtain pre -approval.  Electronic petitions for pre -approval of transfer work are available on \nthe Registrar's Office Forms Library at smu.edu/registrar. Students who fail to secure prior approval for transfer""]",It is important for students to obtain pre-approval for transfer work at SMU to ensure that a course taken at another accredited college or university will transfer and that proper credit will be awarded. This process helps students avoid any issues or discrepancies in transferring credits and ensures a smooth academic progression.,simple,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 37, 'start_index': 1920}]",True
What information is Southern Methodist University required to provide under the Right to Know policy?,"['97 \n Right to Know  \nSouthern Methodist University is pleased to provide information regarding academic programs, enrollment, \nfinancial aid, public safety, athletics and services for persons with disabilities. Students also may obtain paper copies of this information by contac ting the appropriate office listed below. Disclosure of this information is pursuant to \nrequirements of the Higher Education Act and the Campus Security Act. More information is available at www.smu.edu/srk.  \n1. Academic Programs  \nProvost Office, Perkins Administration Building, Room 219  \n214-768-3219  \na. Current degree programs and other educational and training programs.  \nb. Instructional, laboratory and other physical facilities relating to the academic program.  \nc. Faculty and other instructional personnel.']","Southern Methodist University is required to provide information regarding academic programs, enrollment, financial aid, public safety, athletics, and services for persons with disabilities under the Right to Know policy.",simple,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 83, 'start_index': 0}]",True
How does the Critical Reasoning component of the baccalaureate degree plan at SMU contribute to students' academic development?,"['comprises approximately one -third of the baccalaureate degree plan for all SMU students. It consists of two main \ncoursework components, Foundations and Bre adths.  \nThe Foundations requirements include Academic Writing (AW), Critical Reasoning (CR), Quantitative Reasoning (QR), and a Second Language (SLR)  of intermediate proficiency in languages other than English. These Foundation \nrequirements build on the diverse educational backgrounds of students who enter the University and ensure that all students have the knowledge and skills required to complete an SMU degree.  \nThe seven Breadth requirements introduce SMU students to the known range of academic disciplines and give them \nvarious intellectual frameworks from which to approach the world and solve the problems they encounter. These \nrequirements are Creativity and Aes thetics (CA), Exploring Science (ES), Historical Contexts (HC), Literary']","The Critical Reasoning component of the baccalaureate degree plan at SMU contributes to students' academic development by enhancing their ability to think critically, analyze information, and make reasoned judgments. This skill is essential for academic success as it allows students to evaluate arguments, identify logical fallacies, and construct sound arguments of their own.",simple,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 57, 'start_index': 2930}]",True
What is the purpose of the entrance examinations in written music theory and musicianship for entering undergraduate students at this university?,"['23 \n Music.  All entering undergraduate students (except transfer students from 4 -year NASM schools) are required to \ntake entrance examinations in written music theory and musicianship before classes begin. The date and time of \nthese exams are listed in the ""Orientati on Schedule"" published by the Division of Music each year and emailed to \nstudents. Students are advised to make appropriate end -of-summer plans to be present and on time for these exams. \nStudents must be available for the entire testing period, and t hese exams cannot be made up once the semester \nbegins. Since the exams are used for course section placement, all students are required to take the exams whether or \nnot they are seeking credit by examination.']","The purpose of the entrance examinations in written music theory and musicianship for entering undergraduate students at this university is to assess students' knowledge and skills in these areas before classes begin. These exams are used for course section placement and are mandatory for all students, regardless of whether they are seeking credit by examination.",simple,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 9, 'start_index': 0}]",True
"How does the Common Curriculum meet the LAI graduation requirement while focusing on P&Es, soft skills, and global citizenship?","['Analysis and Interpretation (LAI), Philosophical, Religious, and Ethical Inquiry (PREI), Social and Behavioral Sciences (SBS), and Technological Advances and Society (TAS).  \nIn addition to the graduation requirements, referred to as Proficiencies and Experiences (P&Es), students can apply \nthe soft skills necessary to be compassionate and engaged world citizens. The Common Curriculum contains seven graduation requirements: Civi cs and Individual Ethics (CIE), Community Engagement (CE), Global Perspectives \n(GPS), Human Diversity (HD), Oral Communication (OC), Quantitative Applications (QA), and Writing (W). P&Es \nmay be satisfied with coursework or with the completion of co- curricu lar activities. These requirements are often \nmet in tandem with either general education, major, or minor requirements.']",The answer to given question is not present in context,reasoning,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 57, 'start_index': 3844}]",True
"What exception applies to credit hours enrollment for Meadows School of the Arts students during graduation term, and how does it differ from the general rule?","['completion of the degree.  \nLyle School of Engineering.  Students must have the approval of their academic adviser to enroll for fewer than 12 \ncredit hours or more than 18 credit hours during a fall or spring term. Normally, a student must have a GPA of 3.000 \nor higher to enroll for more than 18 credit hours. A n exception is made during the term in which a student is to \ngraduate. Credit will not be allowed for more than 21credit hours in a fall or spring term.  \nMeadows School of the Arts.  Students are not permitted to enroll during a fall or spring term for more than 18 credit \nhours unless their GPA for the preceding term is at least 3.000. During the term in which a student is to graduate, he \nor she may enroll for 19 credit hours (or nine  hours for a summer session) regardless of the preceding term GPA. A \nstudent in the Meadows school cannot receive credit for more than 21 credit hours in a fall or spring term. A student']","During the term in which a student is to graduate, Meadows School of the Arts students may enroll for 19 credit hours, regardless of the preceding term GPA. This differs from the general rule which requires a GPA of at least 3.000 to enroll for more than 18 credit hours.",reasoning,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 36, 'start_index': 1905}]",True
"What pre-term programs assist new and readmitted students in transitioning to University academic life, and how can returning students ensure a smooth reintegration process?","['instructions at https://www. smu.edu/EnrollmentServices/registrar/Enrollment.  \nTo assist new and readmitted students in making a comfortable, satisfying transition to University academic life, \nprograms of academic advising, enrollment and orientation are conducted prior to each term. Information concerning the programs is distributed by the Office of Orientation and Transition Program.', '30 \n apply at least 90 days in advance in order to facilitate the immigration process. In addition, the availability of \nacademic advising and courses may be limited immediately prior to and at the beginning of the term.  \nAll students who return to SMU after any period of nonenrollment must forward official transcripts from each college or university attended since last enrolled at SMU. If the last term of enrollment at SMU was prior to fall \n2000, official transcripts from each college or university attended prior to SMU also must be forwarded to the \nDivision of Enrollment Services.  \nStudents should be aware of specific policies regarding transfer courses taken after matriculation to SMU (see \nTransfer Courses from Other Institutions in the Enrollment and Academic Records  section of this catalog). In \naddition, each college within SMU ha s specific policies regarding reinstatement, reactivation, transfer credit and']","To assist new and readmitted students in making a comfortable, satisfying transition to University academic life, programs of academic advising, enrollment, and orientation are conducted prior to each term. Returning students must forward official transcripts from each college or university attended since last enrolled at SMU.",multi_context,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 38, 'start_index': 3830}, {'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 16, 'start_index': 0}]",True
"What are the payment terms for room charges at SMU, and how can students with special housing needs ensure accommodations are met?","['deposit. These fees are nonrefundable. Notification of assignment will be made by RLSH. The housing license \nagreement is for the full academic year (fall and spring terms). Room charges for the fall term will be billed and are \npayable in advance of the term for students who register before August 1, and room charge s for the spring term will \nbe billed and are payable in advance of that term for students who register before December 1. Students who register \nafter these dates must pay at the time of registration. Room charges for the full academic year will be due and payable should a student move out at any time during the school year. Accommodations for shorter periods are available only by special arrangement with RLSH before acceptance of the housing license agreement. It is \nimportant that applicants become familiar  with the license agreement, as it is a legally binding document.  \nResidence Halls and Apartments  \nResidential Commons at SMU', ""service.  \nSpecial Housing Needs  \nStudents having special housing needs because of a disability should contact the SMU Office of Disability Accommodations and Success Strategies in order to establish eligibility for accommodations. When applying for \nhousing, students should also submit inf ormation to RLSH regarding a request for accommodations. DASS and \nRLSH will work together with the student on their specific situation to make necessary accommodations.  \nGeneral Housing Information  \nIn the Residential Commons, each room is equipped with Ethernet and wireless connections to the University's \ndigital network and online systems. All residential facilities are air -conditioned, and rooms have individual climate \ncontrol. Washing machines and dryers are located in all residential communities.  \nUndergraduate students living in a residential commons or traditional residence hall are required to purchase a meal""]","Room charges for the fall term are billed and payable in advance for students who register before August 1, while room charges for the spring term are billed and payable in advance for students who register before December 1. Students who register after these dates must pay at the time of registration. If a student moves out at any time during the school year, room charges for the full academic year will be due and payable. Students with special housing needs due to a disability should contact the SMU Office of Disability Accommodations and Success Strategies to establish eligibility for accommodations. When applying for housing, students should also submit information to RLSH regarding a request for accommodations. DASS and RLSH will collaborate with the student to make necessary accommodations.",multi_context,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 31, 'start_index': 932}, {'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 31, 'start_index': 2801}]",True
What information is provided by Southern Methodist University regarding public safety?,"['97 \n Right to Know  \nSouthern Methodist University is pleased to provide information regarding academic programs, enrollment, \nfinancial aid, public safety, athletics and services for persons with disabilities. Students also may obtain paper copies of this information by contac ting the appropriate office listed below. Disclosure of this information is pursuant to \nrequirements of the Higher Education Act and the Campus Security Act. More information is available at www.smu.edu/srk.  \n1. Academic Programs  \nProvost Office, Perkins Administration Building, Room 219  \n214-768-3219  \na. Current degree programs and other educational and training programs.  \nb. Instructional, laboratory and other physical facilities relating to the academic program.  \nc. Faculty and other instructional personnel.']","Southern Methodist University provides information regarding academic programs, enrollment, financial aid, public safety, athletics, and services for persons with disabilities.",simple,"[{'source': '../Data/Evaluation Data/Southern Methodist University - 2023-2024 Undergraduate Catalog from About SMU to Right to Know.pdf', 'page': 83, 'start_index': 0}]",True
